,actions_id,actions_tx_hash,actions_timestamp,actions_action_type,actions_amount,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
276,SEND-13cd769b23c99fe525274ff21cd0a1b21bd6f3905fde72caa32757bdda88a66e,13cd769b23c99fe525274ff21cd0a1b21bd6f3905fde72caa32757bdda88a66e,1615237114,SEND,105296318568988596342,105296318568988596342,0xb0e83c2d71a991017e0116d58c5765abc57384af,0.0,0x1a31c94f97c649bc2a8adbceb54d1f4a075be4b1,0.0
277,WRAP-fc7be2ca4b3b8f2e3cf8a6aa5e0d0a3d86459eb7443151f856d67d0fb6f86bb0,fc7be2ca4b3b8f2e3cf8a6aa5e0d0a3d86459eb7443151f856d67d0fb6f86bb0,1615237056,WRAP,10211099017071001393,10211099017071001393,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xa6775ae22067d71fae76e22fa377cfb38f223f0d,0.0
278,OTHER-564ea36bbf7e8190d68e176532be14de0e630bd0e4c6a4c899051bdaa08dfd67,564ea36bbf7e8190d68e176532be14de0e630bd0e4c6a4c899051bdaa08dfd67,1615237001,OTHER,,,0x,0.0,0x,0.0
279,WRAP-3e380e515811c9361ea635ec3f4c71ee460eabad77db1a15d26407b6c2154514,3e380e515811c9361ea635ec3f4c71ee460eabad77db1a15d26407b6c2154514,1615236969,WRAP,16876700981965935589,16876700981965935589,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x23783f2d297555fdcbd3cda4b4cee5af9dd2a02b,0.0
280,WRAP-f4dafee61fae6a28c0e1624df803ed0fae7ae765da7f8a5f245b80692f116dc2,f4dafee61fae6a28c0e1624df803ed0fae7ae765da7f8a5f245b80692f116dc2,1615236946,WRAP,105296318568988596342,105296318568988596342,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xb0e83c2d71a991017e0116d58c5765abc57384af,0.0
281,WRAP-02425278043b53c418e01925ed01a041ddf48ea2b4c9ba31e9a7817e3580844d,02425278043b53c418e01925ed01a041ddf48ea2b4c9ba31e9a7817e3580844d,1615236637,WRAP,1022231705948842580946,1022231705948842580946,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x0eb4add4ba497357546da7f5d12d39587ca24606,0.0
282,WRAP-5accd030efcd39990df98ea08fe2bcc647ea00973dc65727f78920a8fa4e741f,5accd030efcd39990df98ea08fe2bcc647ea00973dc65727f78920a8fa4e741f,1615236622,WRAP,10225295300838184503,10225295300838184503,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,4711658623150523.0
283,WRAP-077c3070eabba8bab5ce4cae15f665ad7f3dcd9e1fa0b24e3fd4fb652308df46,077c3070eabba8bab5ce4cae15f665ad7f3dcd9e1fa0b24e3fd4fb652308df46,1615236449,WRAP,1985494233172463010482,1985494233172463010482,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x97960149fc611508748de01202974d372a677632,4233172463010482.0
284,OTHER-ba644d1b6bc7431af9d12b68da60454c0857909ed997bda7adbf04ffcab0cad6,ba644d1b6bc7431af9d12b68da60454c0857909ed997bda7adbf04ffcab0cad6,1615236449,OTHER,,,0x,0.0,0x,0.0
285,OTHER-a8628a5541199bf5169e79329765fd1064d671d0f487bfcda49688cfedcb74de,a8628a5541199bf5169e79329765fd1064d671d0f487bfcda49688cfedcb74de,1615236275,OTHER,,,0x,0.0,0x,0.0
286,WRAP-b9086ba4c5a281a860bef0e65d5834844303b2943942b6fe7796d5586ceceefa,b9086ba4c5a281a860bef0e65d5834844303b2943942b6fe7796d5586ceceefa,1615236271,WRAP,717844221961086577023,717844221961086577023,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x6af235d2bbe050e6291615b71ca5829658810142,4221961086577023.0
287,OTHER-b9b533aa2b6511c23b59876b3e8e0f2ca9d96f5d91c04bb3043eb50c108b34d5,b9b533aa2b6511c23b59876b3e8e0f2ca9d96f5d91c04bb3043eb50c108b34d5,1615236255,OTHER,,,0x,0.0,0x,0.0
288,WRAP-292b258a268b10228385edf41adb988bb3334b1f7ee5205ad8f33b4949e9787b,292b258a268b10228385edf41adb988bb3334b1f7ee5205ad8f33b4949e9787b,1615236167,WRAP,8934724049276083547,8934724049276083547,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xd3802dce7f7a54d59e7a64329d287624ff3f495a,0.0
